id,status,parsed_time
insys-video-technologies-scrum-master,expired,2022-05-22 15:54:10.858794
arrakis-senior-data-engineer,expired,2022-05-22 15:54:10.858794
homa-games-unity-mobile-games-developer-f-m,expired,2022-05-22 15:54:10.858794
asseco-business-solutions-iot-embedded-software-developer-warszawa,expired,2022-05-22 15:54:10.858794
adb-polska-devops-security-engineer-katowice,expired,2022-05-22 15:54:10.858794
kevin-senior-frontend-software-engineer,expired,2022-05-22 15:54:10.858794
sumo-logic-site-reliability-engineer,expired,2022-05-22 15:54:10.858794
cavendish-professionals-java-kotlin-developer,expired,2022-05-22 15:54:10.858794
talent-hills-sql-developer,expired,2022-05-22 15:54:10.858794
cavendish-professionals-senior-full-stack-engineer,expired,2022-05-22 15:54:10.858794
bytespack-qa-automation-specialist-warszawa,expired,2022-05-22 15:54:10.858794
monday-com-senior-full-stack-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
comeon-poland-test-automation-specialist,expired,2022-05-22 15:54:10.858794
monday-com-senior-devops-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
astek-polska-senior-net-full-stack-developer,expired,2022-05-22 15:54:10.858794
affirm-lead-product-manager-krakow,expired,2022-05-22 15:54:10.858794
cpl-jobs-java-developer-9abafd99-9613-4b81-95db-e9204e1fdd23,expired,2022-05-22 15:54:10.858794
medius-scrum-master-krakow,expired,2022-05-22 15:54:10.858794
smartlunch-ruby-on-rails-developer-wroclaw,expired,2022-05-22 15:54:10.858794
hubquest-bi-solution-architect,expired,2022-05-22 15:54:10.858794
platige-image-senior-net-developer-warszawa,expired,2022-05-22 15:54:10.858794
sky-shop-pl-junior-front-end-developer-5531cfd3-6582-4113-842a-2a2915372d08,expired,2022-05-22 15:54:10.858794
wns-global-services-senior-rpa-developer,expired,2022-05-22 15:54:10.858794
niceproject-cloud-developer,expired,2022-05-22 15:54:10.858794
ntiative-mid-java-developer,expired,2022-05-22 15:54:10.858794
smartways-recruitment-golang-developer,expired,2022-05-22 15:54:10.858794
dassault-systemes-technical-system-engineer,expired,2022-05-22 15:54:10.858794
prodata-consult-senior-frontend-developer-with-react,expired,2022-05-22 15:54:10.858794
sts-ux-researcher,expired,2022-05-22 15:54:10.858794
skills-matter-cloud-security-engineer,expired,2022-05-22 15:54:10.858794
comeon-poland-frontend-developer-omarsys-project,expired,2022-05-22 15:54:10.858794
piwik-pro-senior-devops-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
scalac-regular-senior-qa-engineer,expired,2022-05-22 15:54:10.858794
dassault-systemes-solution-architect-intern-warszawa,expired,2022-05-22 15:54:10.858794
chabre-it-services-net-developer,expired,2022-05-22 15:54:10.858794
hcl-poland-sccm-deployment-technician,expired,2022-05-22 15:54:10.858794
hcl-poland-change-release-coordinator,expired,2022-05-22 15:54:10.858794
michael-page-regional-sr-business-analyst,expired,2022-05-22 15:54:10.858794
bolt-senior-fullstack-engineer,expired,2022-05-22 15:54:10.858794
acoustic-senior-product-manager,expired,2022-05-22 15:54:10.858794
dynatrace-principal-product-manager-log-monitoring,expired,2022-05-22 15:54:10.858794
dignio-python-developer-mid-senior,expired,2022-05-22 15:54:10.858794
enxoo-product-owner-f1d0244a-5c20-4a02-9344-c9a4914a6b01,expired,2022-05-22 15:54:10.858794
harman-connected-services-test-lead-automotive-connected-services,expired,2022-05-22 15:54:10.858794
soflab-technology-tester-wroclaw,expired,2022-05-22 15:54:10.858794
hub-hr-front-end-developer,expired,2022-05-22 15:54:10.858794
axa-avanssur-sa-oddzial-ii-w-polsce-fullstack-net-developer,expired,2022-05-22 15:54:10.858794
advox-studio-junior-it-project-manager-3572b7e2-7be1-43a9-aa14-a193dad68ef4,expired,2022-05-22 15:54:10.858794
murka-senior-game-designer-e790b4e8-2b77-48e2-b0ed-ab7e670a8ae5,expired,2022-05-22 15:54:10.858794
bolt-senior-site-reliability-engineer,expired,2022-05-22 15:54:10.858794
bolt-fullstack-engineer,expired,2022-05-22 15:54:10.858794
bolt-senior-frontend-engineer,expired,2022-05-22 15:54:10.858794
unity-group-front-end-developer-ba719ff7-ff92-4855-9e04-2c7200ba4359,expired,2022-05-22 15:54:10.858794
zooplus-product-owner-acounting,expired,2022-05-22 15:54:10.858794
chatdesk-senior-frontend-engineer-6ad52800-d855-405b-8798-87f853c45ff1,expired,2022-05-22 15:54:10.858794
shoper-s-a-wordpress-developer-warszawa,expired,2022-05-22 15:54:10.858794
fly-pl-php-developer-warszawa,expired,2022-05-22 15:54:10.858794
harman-connected-services-it-talent-acquisition-specialist,expired,2022-05-22 15:54:10.858794
softserve-front-end-developer-angular,expired,2022-05-22 15:54:10.858794
softwarely-senior-lead-ux-designer-warszawa,expired,2022-05-22 15:54:10.858794
bolt-engineering-manager,expired,2022-05-22 15:54:10.858794
stx-next-machine-learning-engineer-bydgoszcz,expired,2022-05-22 15:54:10.858794
bolt-software-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
kevin-senior-backend-engineer-typescript,expired,2022-05-22 15:54:10.858794
rankomat-tester-automatyzujacy,expired,2022-05-22 15:54:10.858794
hub-hr-back-end-developer,expired,2022-05-22 15:54:10.858794
bolt-senior-software-engineer,expired,2022-05-22 15:54:10.858794
michael-page-coe-sr-business-analyst,expired,2022-05-22 15:54:10.858794
michael-page-global-data-analyst,expired,2022-05-22 15:54:10.858794
harman-international-junior-c-c-developer,expired,2022-05-22 15:54:10.858794
michael-page-it-manager,expired,2022-05-22 15:54:10.858794
shoper-s-a-remote-qa-engineer-software-tester-warszawa,expired,2022-05-22 15:54:10.858794
shoper-s-a-wordpress-developer,expired,2022-05-22 15:54:10.858794
log-systems-front-end-developer,expired,2022-05-22 15:54:10.858794
softkraft-react-developer-3504e5c1-f585-4815-9520-2b2977e77fb6,expired,2022-05-22 15:54:10.858794
brainly-senior-project-manager-krakow,expired,2022-05-22 15:54:10.858794
kubo-ios-developer,expired,2022-05-22 15:54:10.858794
kevin-fullstack-typescript-software-engineer,expired,2022-05-22 15:54:10.858794
noa-ignite-formerly-making-waves-senior-frontend-developer-react-js,expired,2022-05-22 15:54:10.858794
sts-seo-developer-php-python-lub-js,expired,2022-05-22 15:54:10.858794
sts-seo-developer-php-python-lub-js-katowice,expired,2022-05-22 15:54:10.858794
boldare-product-designer-warszawa,expired,2022-05-22 15:54:10.858794
demant-cloud-developer,expired,2022-05-22 15:54:10.858794
s-hr-programista-net-fullstack,expired,2022-05-22 15:54:10.858794
harman-connected-services-java-se-developer-for-automotive,expired,2022-05-22 15:54:10.858794
arla-bi-specialist,expired,2022-05-22 15:54:10.858794
4it-solutions-net-developer,expired,2022-05-22 15:54:10.858794
kubo-test-automation-engineer-ab4fbd10-f7ee-45be-9a7b-96340c725cd4,expired,2022-05-22 15:54:10.858794
kubo-android-developer-remote,expired,2022-05-22 15:54:10.858794
sts-seo-developer-php-python-lub-js-3121572d-b338-47d6-9f0b-12c3af3d3959,expired,2022-05-22 15:54:10.858794
solwit-sa-cloud-devops-engineer-gdansk,expired,2022-05-22 15:54:10.858794
michael-page-it-help-desk-north-america,expired,2022-05-22 15:54:10.858794
smartbear-junior-customer-support-engineer-50985d6d-9a63-44c9-9b17-2040c5b09aa7,expired,2022-05-22 15:54:10.858794
solwit-sa-python-test-developer-541cc876-349c-45d2-8256-21821534f2d0,expired,2022-05-22 15:54:10.858794
harman-connected-services-software-engineer,expired,2022-05-22 15:54:10.858794
symfonia-senior-net-developer-wroclaw,expired,2022-05-22 15:54:10.858794
harman-connected-services-senior-embedded-test-automation-engineer,expired,2022-05-22 15:54:10.858794
stx-next-devops-engineer-aws,expired,2022-05-22 15:54:10.858794
adb-polska-devops-security-engineer,expired,2022-05-22 15:54:10.858794
harman-connected-services-java-trainee,expired,2022-05-22 15:54:10.858794
boldare-product-designer-2898a992-f65f-4357-b22e-d5c406ed2cac,expired,2022-05-22 15:54:10.858794
scalo-tester-automatyzujacy-mid-i-senior,expired,2022-05-22 15:54:10.858794
michael-page-it-help-desk,expired,2022-05-22 15:54:10.858794
ingenious-build-ux-ui-product-designer,expired,2022-05-22 15:54:10.858794
kevin-frontend-software-engineer,expired,2022-05-22 15:54:10.858794
nokia-c-c-embedded-developer-gorzow-wielkopolski,expired,2022-05-22 15:54:10.858794
kevin-android-software-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
soflab-technology-mlodszy-administrator-it-warszawa,expired,2022-05-22 15:54:10.858794
direct-communication-product-support-spiecialist,expired,2022-05-22 15:54:10.858794
technipfmc-digital-product-designer,expired,2022-05-22 15:54:10.858794
systemy-przetwarzania-i-integracji-dan-database-developer,expired,2022-05-22 15:54:10.858794
harman-connected-services-senior-embedded-c-engineer-lodz,expired,2022-05-22 15:54:10.858794
infinity-group-sp-z-o-o-junior-net-sitecore-developer,expired,2022-05-22 15:54:10.858794
dotdata-inc-test-automation-engineer,expired,2022-05-22 15:54:10.858794
adtonos-junior-ts-js-developer,expired,2022-05-22 15:54:10.858794
cshark-site-reliability-engineer-sre-devops,expired,2022-05-22 15:54:10.858794
empik-tester-automatyzujacy-warszawa,expired,2022-05-22 15:54:10.858794
harman-connected-services-regular-senior-java-developer,expired,2022-05-22 15:54:10.858794
livespace-sp-z-o-o-java-developer,expired,2022-05-22 15:54:10.858794
volven-it-project-manager-business-analyst,expired,2022-05-22 15:54:10.858794
kevin-senior-java-kotlin-software-engineer,expired,2022-05-22 15:54:10.858794
global4net-project-manager,expired,2022-05-22 15:54:10.858794
quantoo-frontend-web-developer,expired,2022-05-22 15:54:10.858794
consult-red-integration-engineer-devops-cm,expired,2022-05-22 15:54:10.858794
jit-team-python-developer-warszawa,expired,2022-05-22 15:54:10.858794
kevin-mid-qa-engineer-warszawa,expired,2022-05-22 15:54:10.858794
postdata-developer-wpf-krakow,expired,2022-05-22 15:54:10.858794
supermetrics-test-automation-lead,expired,2022-05-22 15:54:10.858794
first-line-software-net-cms-developer-optimizely-episerver,expired,2022-05-22 15:54:10.858794
memgraph-software-engineer-core-database-engine,expired,2022-05-22 15:54:10.858794
memgraph-software-engineer-in-test-c,expired,2022-05-22 15:54:10.858794
memgraph-software-engineer-python,expired,2022-05-22 15:54:10.858794
teamquest-administrator-baz-danych,expired,2022-05-22 15:54:10.858794
datawalk-support-specialist-warszawa,expired,2022-05-22 15:54:10.858794
pko-bp-administrator-systemow-wirtualnych,expired,2022-05-22 15:54:10.858794
cleeng-senior-project-manager,expired,2022-05-22 15:54:10.858794
idego-senior-angular-developer-ec2affa5-5216-42ad-981e-aa2fac4bac2c,expired,2022-05-22 15:54:10.858794
star-beta-poland-operations-analyst,expired,2022-05-22 15:54:10.858794
livespace-sp-z-o-o-senior-java-developer,expired,2022-05-22 15:54:10.858794
dcg-technical-architect,expired,2022-05-22 15:54:10.858794
samba-tv-data-platforms-engineer-core-services-wroclaw,expired,2022-05-22 15:54:10.858794
neurosys-administrator-systemow-it-sysops-wroclaw,expired,2022-05-22 15:54:10.858794
dnv-cloud-operations-devops-engineer,expired,2022-05-22 15:54:10.858794
exeno-junior-net-developer,expired,2022-05-22 15:54:10.858794
samba-tv-data-scientist-wroclaw,expired,2022-05-22 15:54:10.858794
tpay-senior-qa-engineer,expired,2022-05-22 15:54:10.858794
jabil-data-quality-engineer-krakow,expired,2022-05-22 15:54:10.858794
ifirma-s-a-machine-deep-learning-developer,expired,2022-05-22 15:54:10.858794
jabil-performance-test-engineer-warszawa,expired,2022-05-22 15:54:10.858794
4it-solutions-java-developer-mid-senior,expired,2022-05-22 15:54:10.858794
code-poets-solidity-developer-agregator-gield-nft,expired,2022-05-22 15:54:10.858794
jabil-azure-ad-engineer-wroclaw,expired,2022-05-22 15:54:10.858794
ifirma-s-a-junior-java-developer,expired,2022-05-22 15:54:10.858794
exeno-ux-designer,expired,2022-05-22 15:54:10.858794
softwarehut-sp-z-o-o-front-end-developer-bialystok,expired,2022-05-22 15:54:10.858794
kevin-staff-backend-engineer-typescript,expired,2022-05-22 15:54:10.858794
kevin-staff-backend-engineer-kotlin-spring,expired,2022-05-22 15:54:10.858794
mpc-senior-ux-ui-designer,expired,2022-05-22 15:54:10.858794
infinity-group-sp-z-o-o-junior-ios-developer,expired,2022-05-22 15:54:10.858794
eurozet-android-developer-java,expired,2022-05-22 15:54:10.858794
eurozet-android-developer,expired,2022-05-22 15:54:10.858794
eurozet-programista-android,expired,2022-05-22 15:54:10.858794
vm-pl-software-house-senior-php-developer-symfony,expired,2022-05-22 15:54:10.858794
crodu-senior-spring-cloud-developer,expired,2022-05-22 15:54:10.858794
ers-junior-fullstack-developer,expired,2022-05-22 15:54:10.858794
solwit-sa-programista-c-c4901f14-661f-4820-a2af-6983943e9903,expired,2022-05-22 15:54:10.858794
sumo-logic-full-stack-engineer,expired,2022-05-22 15:54:10.858794
volvo-polska-it-solution-architect,expired,2022-05-22 15:54:10.858794
dynatrace-agile-coach,expired,2022-05-22 15:54:10.858794
samba-tv-data-engineer-audience-technology,expired,2022-05-22 15:54:10.858794
dasoft-senior-frontend-developer-angular,expired,2022-05-22 15:54:10.858794
kevin-senior-android-software-engineer,expired,2022-05-22 15:54:10.858794
infor-devops-engineer-aws-azure,expired,2022-05-22 15:54:10.858794
accenture-veeam-engineer,expired,2022-05-22 15:54:10.858794
kevin-qa-engineer,expired,2022-05-22 15:54:10.858794
kevin-senior-backend-software-engineer-php,expired,2022-05-22 15:54:10.858794
nordea-senior-scala-developer,expired,2022-05-22 15:54:10.858794
volven-senior-node-js-developer,expired,2022-05-22 15:54:10.858794
kevin-backend-software-engineer-php,expired,2022-05-22 15:54:10.858794
brand-technology-php-developer-100-zdalnie-warszawa,expired,2022-05-22 15:54:10.858794
westwing-product-manager-invoicing-m-f-d,expired,2022-05-22 15:54:10.858794
samba-tv-senior-backend-engineer-core-engineering,expired,2022-05-22 15:54:10.858794
raiffeisen-bank-international-ag-inzynier-big-data-aws-warszawa,expired,2022-05-22 15:54:10.858794
samba-tv-data-engineer-mid-regular,expired,2022-05-22 15:54:10.858794
samba-tv-data-platforms-engineer-core-services,expired,2022-05-22 15:54:10.858794
eve-world-platform-data-scientist,expired,2022-05-22 15:54:10.858794
eve-world-platform-cto-chief-technology-officer,expired,2022-05-22 15:54:10.858794
datamolino-mid-sen-ruby-on-rails-developer,expired,2022-05-22 15:54:10.858794
winalife-agile-project-manager,expired,2022-05-22 15:54:10.858794
scalo-python-software-engineer-mid-or-senior,expired,2022-05-22 15:54:10.858794
arche-consulting-ios-android-developer,expired,2022-05-22 15:54:10.858794
amelco-uk-system-analyst-l2-l3,expired,2022-05-22 15:54:10.858794
qodeca-senior-java-developer-100-remote,expired,2022-05-22 15:54:10.858794
kevin-android-software-engineer,expired,2022-05-22 15:54:10.858794
qodeca-angular-developer-warszawa,expired,2022-05-22 15:54:10.858794
divante-shopware-architect,expired,2022-05-22 15:54:10.858794
itfs-test-manager-warszawa,expired,2022-05-22 15:54:10.858794
lyreco-advantage-scrum-master,expired,2022-05-22 15:54:10.858794
blue-brick-junior-frontend-wordpress-developer,expired,2022-05-22 15:54:10.858794
qodeca-react-developer-warszawa,expired,2022-05-22 15:54:10.858794
apptension-quality-assurance-specialist,expired,2022-05-22 15:54:10.858794
divante-solutions-architect,expired,2022-05-22 15:54:10.858794
fujitsu-technology-solutions-sp-z-o-o-pam-engineer-cybersecurity,expired,2022-05-22 15:54:10.858794
outworking-s-a-junior-python-developer,expired,2022-05-22 15:54:10.858794
outworking-s-a-junior-java-developer,expired,2022-05-22 15:54:10.858794
outworking-s-a-junior-javascript-developer,expired,2022-05-22 15:54:10.858794
outworking-s-a-inzynier-w-centrum-cyberbezpieczenstwa,expired,2022-05-22 15:54:10.858794
bigpicture-software-application-tester-warszawa,expired,2022-05-22 15:54:10.858794
