,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,open_to_hire_ukrainians,id,display_offer,employment_types,company_logo_url,skills,remote,multilocation,way_of_apply
0,Senior Android Developer,Q22,Warszawa,PL,"Q22, Warszawa",mobile,remote,Be | Shaping the Future Poland,https://www.be-tse.pl/,200,senior,52.2356111,20.9982694,2022-05-31T09:22:08.162Z,True,False,be-shaping-the-future-poland-senior-android-developer,True,"[{'type': 'b2b', 'salary': {'from': 25600, 'to': 28800, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/66261044bb5d4b1717a9b08d4166729326ac6c6e.PNG?1653988904,"[{'name': 'Swift', 'level': 4}, {'name': 'iOS', 'level': 4}]",True,"[{'city': 'Warszawa', 'street': 'Q22', 'slug': 'be-shaping-the-future-poland-senior-android-developer'}]",redirect
1,Junior Scala Developer,Feliksa Radwańskiego 15/2,Kraków,PL,"Feliksa Radwańskiego 15/2, Kraków",scala,office,Scalaric,https://scalaric.com/,20+,junior,50.0664621,19.9059573,2022-05-31T09:21:33.320Z,False,False,scalaric-junior-scala-developer,True,"[{'type': 'permanent', 'salary': {'from': 6000, 'to': 12000, 'currency': 'pln'}}, {'type': 'mandate_contract', 'salary': {'from': 6000, 'to': 12000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/952a5f4614de9471c3d799c01148e9985c35e3c3.png?1653988504,"[{'name': 'SQL', 'level': 2}, {'name': 'Git', 'level': 2}, {'name': 'Scala', 'level': 2}]",False,"[{'city': 'Kraków', 'street': 'Feliksa Radwańskiego 15/2', 'slug': 'scalaric-junior-scala-developer'}]",form
2,Product Engineer,Center,Warsaw,PL,"Center, Warsaw",javascript,remote,Greyfinch,http://greyfinch.com,10-25,senior,52.2477331,21.0136079,2022-05-31T09:17:58.797Z,True,False,greyfinch-product-engineer,True,"[{'type': 'b2b', 'salary': {'from': 7500, 'to': 10000, 'currency': 'usd'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/27793b6162bd400a940993c43684f564ec180fd5.png?1653987448,"[{'name': 'Node.js', 'level': 4}, {'name': 'React', 'level': 5}, {'name': 'JavaScript', 'level': 5}]",True,"[{'city': 'Warsaw', 'street': 'Center', 'slug': 'greyfinch-product-engineer'}]",form
3,DevOps Engineer (multicloud environment),Centrum,Варшава,PL,"Centrum, Варшава",devops,remote,Link Group,http://linkgroup.pl/,200-250,mid,52.2296756,21.0122287,2022-05-31T09:17:51.199Z,True,False,link-group-devops-engineer-multicloud-environment,True,"[{'type': 'b2b', 'salary': {'from': 20000, 'to': 26000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e60bcb647ea6eccf7930f7a579c5e0a317e5908d.png?1653988555,"[{'name': 'CI/CD', 'level': 4}, {'name': 'Kubernetes', 'level': 4}, {'name': 'Docker', 'level': 4}]",True,"[{'city': 'Варшава', 'street': 'Centrum', 'slug': 'link-group-devops-engineer-multicloud-environment'}]",form
4,QA Engineer,Zwierzyniecka 30,Kraków,PL,"Zwierzyniecka 30, Kraków",testing,remote,Redvike,https://redvike.com/,22-25,mid,50.0574811,19.9305116,2022-05-31T09:17:18.155Z,True,True,redvike-qa-engineer,True,"[{'type': 'b2b', 'salary': {'from': 8000, 'to': 11000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 6500, 'to': 9000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/bf3b5414136e2c9d0c35b6108b16b86f458ab3ba.jpg?1653988400,"[{'name': 'API Testing', 'level': 4}, {'name': 'Test planning', 'level': 4}, {'name': 'Manual Testing', 'level': 4}]",True,"[{'city': 'Kraków', 'street': 'Zwierzyniecka 30', 'slug': 'redvike-qa-engineer'}]",form
5,Software Developer,Monbijoustrasse 36,Bern,CH,"Monbijoustrasse 36, Bern",python,remote,Dreamlab Technologies AG,https://dreamlab.net/,50+,mid,46.9434998,7.4353359,2022-05-31T09:15:36.531Z,True,True,dreamlab-technologies-ag-software-developer,True,"[{'type': 'permanent', 'salary': {'from': 70000, 'to': 75000, 'currency': 'chf'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e758602f54804e7cf5b25014968d68390fa1ebbd.png?1653988110,"[{'name': 'Ansible', 'level': 4}, {'name': 'C++', 'level': 4}, {'name': 'C', 'level': 4}]",True,"[{'city': 'Bern', 'street': 'Monbijoustrasse 36', 'slug': 'dreamlab-technologies-ag-software-developer'}]",form
6,.NET Developer,Szyperska 14,Poznań,PL,"Szyperska 14, Poznań",net,remote,Britenet,http://Britenet Sp. z o.o.,1000,senior,52.4113054,16.9412096,2022-05-31T09:12:00.000Z,True,False,britenet-net-developer-173e542d-384c-4f72-8bae-38ecdd119213,True,"[{'type': 'b2b', 'salary': {'from': 20000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/633e9764c14edf29879964b8a09998628e73c796.png?1646291082,"[{'name': 'NoSQL', 'level': 3}, {'name': 'C#', 'level': 4}, {'name': '.NET Core', 'level': 4}]",True,"[{'city': 'Lublin', 'slug': 'britenet-net-developer-55c9810c-14f0-4fec-9196-0954b33d79c7', 'street': 'Morwowa 1'}, {'city': 'Warszawa', 'slug': 'britenet-net-developer-b6d6cf13-c584-404a-8278-68d093e1e641', 'street': 'Karolkowa 30'}, {'city': 'Poznań', 'slug': 'britenet-net-developer-173e542d-384c-4f72-8bae-38ecdd119213', 'street': 'Szyperska 14'}]",form
7,Senior Full Stack Developer,Flory 9,Warszawa,PL,"Flory 9, Warszawa",javascript,remote,VolleyStation,https://volleystation.com,<20,senior,52.2135393,21.0235717,2022-05-31T09:08:38.442Z,True,False,volleystation-senior-full-stack-developer,True,"[{'type': 'b2b', 'salary': {'from': 16000, 'to': 24000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/46738982b86f56adfd5967682d0e3453e6da15a2.png?1653987998,"[{'name': 'Node', 'level': 3}, {'name': 'TypeScript', 'level': 4}, {'name': 'Angular', 'level': 4}]",True,"[{'city': 'Warszawa', 'street': 'Flory 9', 'slug': 'volleystation-senior-full-stack-developer'}]",form
8,QA Engineer,Mikołaja Kopernika 95a,Białystok,PL,"Mikołaja Kopernika 95a, Białystok",testing,remote,Grape Up,https://grapeup.com/,100+,mid,53.123433,23.124212,2022-05-31T09:07:43.774Z,True,False,grape-up-qa-engineer-bialystok,True,"[{'type': 'b2b', 'salary': {'from': 12000, 'to': 17500, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 10200, 'to': 15000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/0cf51dbf82298f44de2a943ae8280d87ded85379.png?1638449935,"[{'name': 'Scrum', 'level': 3}, {'name': 'Python', 'level': 3}, {'name': 'English', 'level': 4}]",True,"[{'city': 'Kraków', 'slug': 'grape-up-qa-engineer-e4cfe92d-f3c1-4875-9296-90bf6fc3cd30', 'street': 'Żółkiewskiego 17a'}, {'city': 'Białystok', 'slug': 'grape-up-qa-engineer-bialystok', 'street': 'Mikołaja Kopernika 95a'}, {'city': 'Wrocław', 'slug': 'grape-up-qa-engineer-wroclaw', 'street': 'Fabryczna 6'}]",redirect
9,QA Engineer,Fabryczna 6,Wrocław,PL,"Fabryczna 6, Wrocław",testing,remote,Grape Up,https://grapeup.com/,100+,mid,51.1124203,16.9942438,2022-05-31T09:11:42.738Z,True,False,grape-up-qa-engineer-wroclaw,False,"[{'type': 'b2b', 'salary': {'from': 12000, 'to': 17500, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 10200, 'to': 15000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/5f15defe8cc94ab6b56deb125835df7748aecaa8.png?1653988280,"[{'name': 'Scrum', 'level': 3}, {'name': 'Python', 'level': 3}, {'name': 'English', 'level': 4}]",True,"[{'city': 'Wrocław', 'street': 'Fabryczna 6', 'slug': 'grape-up-qa-engineer-wroclaw'}]",redirect
