marker_icon,experience_level,Unnamed: 0,liczba ofert
scala,junior,4,4
go,junior,5,5
ruby,junior,18,18
scala,mid,50,50
scala,senior,53,53
go,mid,55,55
go,senior,64,64
mobile,junior,64,64
python,junior,70,70
c,junior,93,93
ruby,senior,99,99
net,junior,106,106
php,junior,122,122
ruby,mid,124,124
javascript,junior,169,169
c,senior,185,185
java,junior,203,203
c,mid,219,219
php,senior,262,262
net,senior,271,271
mobile,senior,308,308
python,senior,390,390
mobile,mid,432,432
python,mid,489,489
php,mid,544,544
net,mid,587,587
java,senior,600,600
java,mid,788,788
javascript,senior,1060,1060
javascript,mid,1421,1421
