,id ,Category,marker_icon,workplace_type,experience_level,city,type,from,to,currency
0,allegro-frontend-software-engineer,Frontend,javascript,partly_remote,mid,Warszawa,permanent,,,
1,novicell-frontend-developer,Frontend,javascript,partly_remote,mid,Białystok,b2b,8000.0,16000.0,pln
2,grupa-kapitalowa-vox-react-js-developer-mid-mid,Frontend,javascript,remote,mid,Poznań,b2b,,,
3,proacta-frontend-developer,Frontend,javascript,remote,mid,Lublin,b2b,12000.0,18000.0,pln
4,unity-group-front-end-developer-wroclaw,Frontend,javascript,partly_remote,mid,Wrocław,b2b,10100.0,16000.0,pln
5,unity-group-front-end-developer-wroclaw,Frontend,javascript,partly_remote,mid,Wrocław,permanent,8500.0,13400.0,pln
6,anixe-front-end-engineer-angular,Frontend,javascript,partly_remote,mid,Wrocław,b2b,10000.0,15000.0,pln
7,anixe-front-end-engineer-angular,Frontend,javascript,partly_remote,mid,Wrocław,permanent,10000.0,15000.0,pln
8,itera-slovakia-frontend-developer,Frontend,java,partly_remote,senior,Bratislava,permanent,2500.0,3400.0,eur
9,prodata-consult-frontend-developer-54fbab11-3027-471d-95e0-9e5280c20499,Frontend,javascript,remote,senior,Warszawa,b2b,25200.0,33600.0,pln
10,itds-frontend-software-engineer-react,Frontend,javascript,partly_remote,senior,Warszawa,b2b,20000.0,30000.0,pln
11,itds-frontend-software-engineer-react,Frontend,javascript,partly_remote,senior,Warszawa,permanent,15000.0,24000.0,pln
12,clawrock-sp-z-o-o-sp-k-frontend-developer,Frontend,javascript,remote,mid,Wrocław,b2b,9000.0,14000.0,pln
13,decathlon-frontend-team-lead,Frontend,javascript,remote,senior,Warszawa,b2b,26000.0,32000.0,pln
14,done-deliveries-front-end-developer,Frontend,javascript,partly_remote,mid,Andrychów,b2b,7000.0,11000.0,pln
15,done-deliveries-front-end-developer,Frontend,javascript,partly_remote,mid,Andrychów,permanent,7000.0,11000.0,pln
16,dnv-frontend-web-developer-warszawa,Frontend,javascript,remote,senior,Warszawa,b2b,,,
17,dnv-frontend-web-developer-warszawa,Frontend,javascript,remote,senior,Warszawa,permanent,,,
18,quadient-technologies-czech-s-r-o-frontend-developer-warszawa,Frontend,javascript,remote,mid,Warszawa,permanent,,,
19,scalo-frontend-react-developer-warszawa,Frontend,javascript,remote,mid,Warszawa,b2b,20160.0,21840.0,pln
20,mpc-frontend-developer-future-team-leader,Frontend,javascript,remote,mid,Katowice,b2b,12000.0,18000.0,pln
21,mpc-frontend-developer-future-team-leader,Frontend,javascript,remote,mid,Katowice,permanent,10000.0,15000.0,pln
22,itlt-front-end-react-developer,Frontend,javascript,remote,mid,Wrocław,b2b,3000.0,5000.0,usd
23,grupa-kapitalowa-vox-front-end-developer-vue-js-mid-wroclaw,Frontend,javascript,remote,mid,Wrocław,b2b,,,
24,teamquest-frontend-developer-warszawa,Frontend,javascript,remote,mid,Warszawa,b2b,18000.0,23000.0,pln
25,smartbear-front-end-software-engineer-c2534397-aa07-481b-b7b6-3681917ab6f4,Frontend,javascript,remote,mid,Wrocław,b2b,14000.0,19000.0,pln
26,smartbear-front-end-software-engineer-c2534397-aa07-481b-b7b6-3681917ab6f4,Frontend,javascript,remote,mid,Wrocław,permanent,12000.0,17000.0,pln
27,logicai-frontend-developer,Frontend,javascript,remote,mid,Warszawa,b2b,11000.0,15500.0,pln
28,lpp-sa-frontend-developer,Frontend,javascript,remote,mid,Gdańsk,b2b,,,
29,lpp-sa-frontend-developer,Frontend,javascript,remote,mid,Gdańsk,permanent,,,
30,survicate-front-end-developer-with-vue-js,Frontend,javascript,remote,mid,Warszawa,mandate_contract,14000.0,20000.0,pln
31,survicate-front-end-developer-with-vue-js,Frontend,javascript,remote,mid,Warszawa,b2b,14000.0,20000.0,pln
32,codilime-frontend-engineer-with-angular,Frontend,javascript,remote,mid,Warszawa,b2b,12000.0,21000.0,pln
33,peopletrust-sp-z-o-o-frontend-developer-100-remote,Frontend,javascript,remote,mid,Warszawa,b2b,18400.0,29500.0,pln
34,intent-front-end-developer,Frontend,javascript,remote,senior,Warszawa,b2b,17000.0,23000.0,pln
35,intent-front-end-developer,Frontend,javascript,remote,senior,Warszawa,permanent,14000.0,19000.0,pln
36,panda-group-mid-front-end-developer,Frontend,html,remote,mid,Poznań,b2b,8500.0,13000.0,pln
37,checkware-frontend-developer,Frontend,javascript,remote,mid,Warszawa,permanent,15000.0,22000.0,pln
38,callpage-frontend-developer-warszawa,Frontend,javascript,remote,mid,Warszawa,b2b,10080.0,15120.0,pln
39,bitskins-sp-z-o-o-frontend-developer,Frontend,html,remote,mid,Katowice,b2b,,,
40,wirtualna-polska-media-s-a-frontend-developer-0b50e867-831f-45bf-899c-aea5d669ddcd,Frontend,javascript,remote,mid,Warszawa,permanent,,,
41,unide-frontend-angular-developer-fullstack-warszawa,Frontend,javascript,remote,mid,Warszawa,b2b,12000.0,20000.0,pln
42,callpage-frontend-developer-6927127f-08bf-4035-af78-ad4d76d2cf12,Frontend,javascript,remote,mid,Kraków,b2b,10080.0,15120.0,pln
43,snow-dog-frontend-developer-ea067fe3-3b95-4e46-83f3-a74bfa51e560,Frontend,javascript,remote,mid,Poznań,b2b,9000.0,14000.0,pln
44,snow-dog-frontend-developer-ea067fe3-3b95-4e46-83f3-a74bfa51e560,Frontend,javascript,remote,mid,Poznań,permanent,7500.0,11600.0,pln
45,macrix-technology-group-web-developer,Frontend,javascript,remote,senior,Poznań,b2b,15000.0,22000.0,pln
46,macrix-technology-group-web-developer,Frontend,javascript,remote,senior,Poznań,permanent,12000.0,17000.0,pln
47,hatomi-frontend-developer-react,Frontend,javascript,remote,mid,Warszawa,b2b,13000.0,17000.0,pln
48,solwit-sa-frontend-developer-angular-8,Frontend,javascript,remote,mid,Gdańsk,b2b,14000.0,18000.0,pln
49,solwit-sa-frontend-developer-angular-8,Frontend,javascript,remote,mid,Gdańsk,permanent,12000.0,15000.0,pln
50,conscensia-frontend-engineer-react-js-typescript,Frontend,javascript,partly_remote,mid,Warszawa,b2b,16000.0,21000.0,pln
51,square-one-frontend-developer,Frontend,javascript,remote,mid,Warszawa,b2b,18000.0,26000.0,pln
52,alekseon-frontend-developer,Frontend,html,partly_remote,mid,Gdynia,b2b,10000.0,14000.0,pln
53,alekseon-frontend-developer,Frontend,html,partly_remote,mid,Gdynia,permanent,8000.0,12000.0,pln
54,tooploox-front-end-react-engineer-wroclaw,Frontend,javascript,remote,mid,Wrocław,b2b,14000.0,20000.0,pln
